number	book	chapter	verse	trchapter	trverse	trtext
42	1	2	11	2	11	The name of the first river is Pishon; it winds through the whole land of Havilah, where there is gold.
43	1	2	12	2	12	And the gold of that land is pure, and bdellium and onyx are found there.
44	1	2	13	2	13	The name of the second river is Gihon; it winds through the whole land of Cush.
45	1	2	14	2	14	The name of the third river is Hiddekel; it runs along the east side of Assyria. And the fourth river is the Euphrates.
46	1	2	15	2	15	Then the LORD God took the man and placed him in the Garden of Eden to cultivate and keep it.
47	1	2	16	2	16	And the LORD God commanded him, “You may eat freely from every tree of the garden,
48	1	2	17	2	17	but you must not eat from the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”
49	1	2	18	2	18	The LORD God also said, “It is not good for the man to be alone. I will make for him a suitable helper.”
50	1	2	19	2	19	And out of the ground the LORD God formed every beast of the field and every bird of the air, and He brought them to the man to see what he would name each one. And whatever the man called each living creature, that was its name.
51	1	2	20	2	20	The man gave names to all the livestock, to the birds of the air, and to every beast of the field. But for Adam no suitable helper was found.
52	1	2	21	2	21	So the LORD God caused the man to fall into a deep sleep, and while he slept, He took one of the man’s ribs and closed up the area with flesh.
53	1	2	22	2	22	And from the rib that the LORD God had taken from the man, He made a woman and brought her to him.
54	1	2	23	2	23	And the man said: “This is now bone of my bones and flesh of my flesh; she shall be called ‘woman,’ for out of man she was taken.”
55	1	2	24	2	24	For this reason a man will leave his father and mother and be united to his wife, and they will become one flesh.
56	1	2	25	2	25	And the man and his wife were both naked, and they were not ashamed.
57	1	3	1	3	1	Now the serpent was more crafty than any beast of the field that the LORD God had made. And he said to the woman, “Did God really say, ‘You must not eat from any tree in the garden?’”
58	1	3	2	3	2	The woman answered the serpent, “We may eat the fruit of the trees of the garden,
59	1	3	3	3	3	but about the fruit of the tree in the middle of the garden, God has said, ‘You must not eat of it or touch it, or you will die.’”
60	1	3	4	3	4	“You will not surely die,” the serpent told her.
61	1	3	5	3	5	“For God knows that in the day you eat of it, your eyes will be opened and you will be like God, knowing good and evil.”
62	1	3	6	3	6	When the woman saw that the tree was good for food and pleasing to the eyes, and that it was desirable for obtaining wisdom, she took the fruit and ate it. She also gave some to her husband who was with her, and he ate it.
63	1	3	7	3	7	And the eyes of both of them were opened, and they knew that they were naked; so they sewed together fig leaves and made coverings for themselves.
64	1	3	8	3	8	Then the man and his wife heard the voice of the LORD God walking in the garden in the breeze of the day, and they hid themselves from the presence of the LORD God among the trees of the garden.
65	1	3	9	3	9	So the LORD God called out to the man, “Where are you?”
66	1	3	10	3	10	“I heard Your voice in the garden,” he replied, “and I was afraid because I was naked; so I hid myself.”
67	1	3	11	3	11	“Who told you that you were naked?” asked the LORD God. “Have you eaten from the tree of which I commanded you not to eat?”
68	1	3	12	3	12	And the man answered, “The woman whom You gave me, she gave me fruit from the tree, and I ate it.”
69	1	3	13	3	13	Then the LORD God said to the woman, “What is this you have done?” “The serpent deceived me,” she replied, “and I ate.”
70	1	3	14	3	14	So the LORD God said to the serpent: “Because you have done this, cursed are you above all livestock and every beast of the field! On your belly will you go, and dust you will eat, all the days of your life.
71	1	3	15	3	15	And I will put enmity between you and the woman, and between your seed and her seed. He will crush your head, and you will strike his heel.”
72	1	3	16	3	16	To the woman He said: “I will sharply increase your pain in childbirth; in pain you will bring forth children. You will desire your husband, and he will rule over you.”
73	1	3	17	3	17	And to Adam He said: “Because you have listened to the voice of your wife and have eaten from the tree of which I commanded you not to eat, cursed is the ground because of you; through toil you will eat of it all the days of your life.
74	1	3	18	3	18	Both thorns and thistles it will yield for you, and you will eat the plants of the field.
75	1	3	19	3	19	By the sweat of your brow you will eat your bread, until you return to the ground—because out of it were you taken. For dust you are, and to dust you shall return.”
76	1	3	20	3	20	And Adam named his wife Eve, because she was to be the mother of all the living.
77	1	3	21	3	21	And the LORD God made garments of skin for Adam and his wife, and He clothed them.
78	1	3	22	3	22	Then the LORD God said, “Behold, the man has become like one of Us, knowing good and evil. And now, lest he reach out his hand and take also from the tree of life, and eat, and live forever...”
79	1	3	23	3	23	Therefore the LORD God banished him from the Garden of Eden to work the ground from which he had been taken.
80	1	3	24	3	24	So He drove out the man and stationed cherubim on the east side of the Garden of Eden, along with a whirling sword of flame to guard the way to the tree of life.
81	1	4	1	4	1	And Adam had relations with his wife Eve, and she conceived and gave birth to Cain. “With the help of the LORD I have brought forth a man,” she said.
82	1	4	2	4	2	Later she gave birth to Cain’s brother Abel. Now Abel was a keeper of sheep, while Cain was a tiller of the soil.
83	1	4	3	4	3	So in the course of time, Cain brought some of the fruit of the soil as an offering to the LORD,
84	1	4	4	4	4	while Abel brought the best portions of the firstborn of his flock. And the LORD looked with favor on Abel and his offering,
85	1	4	5	4	5	but He had no regard for Cain and his offering. So Cain became very angry, and his countenance fell.
86	1	4	6	4	6	“Why are you angry,” said the LORD to Cain, “and why has your countenance fallen?
87	1	4	7	4	7	If you do what is right, will you not be accepted? But if you refuse to do what is right, sin is crouching at your door; it desires you, but you must master it.”
88	1	4	8	4	8	Then Cain said to his brother Abel, “Let us go out to the field.” And while they were in the field, Cain rose up against his brother Abel and killed him.
89	1	4	9	4	9	And the LORD said to Cain, “Where is your brother Abel?” “I do not know!” he answered. “Am I my brother’s keeper?”
90	1	4	10	4	10	“What have you done?” replied the LORD. “The voice of your brother’s blood cries out to Me from the ground.
91	1	4	11	4	11	Now you are cursed and banished from the ground, which has opened its mouth to receive your brother’s blood from your hand.
92	1	4	12	4	12	When you till the ground, it will no longer yield its produce to you. You will be a fugitive and a wanderer on the earth.”
93	1	4	13	4	13	But Cain said to the LORD, “My punishment is greater than I can bear.
94	1	4	14	4	14	Behold, this day You have driven me from the face of the earth, and from Your face I will be hidden; I will be a fugitive and a wanderer on the earth, and whoever finds me will kill me.”
95	1	4	15	4	15	“Not so!” replied the LORD. “If anyone slays Cain, then Cain will be avenged sevenfold.” And the LORD placed a mark on Cain, so that no one who found him would kill him.
96	1	4	16	4	16	So Cain went out from the presence of the LORD and settled in the land of Nod, east of Eden.
97	1	4	17	4	17	And Cain had relations with his wife, and she conceived and gave birth to Enoch. Then Cain built a city and named it after his son Enoch.
98	1	4	18	4	18	Now to Enoch was born Irad, and Irad was the father of Mehujael, and Mehujael was the father of Methusael, and Methusael was the father of Lamech.
99	1	4	19	4	19	And Lamech married two women, one named Adah and the other Zillah.
100	1	4	20	4	20	And Adah gave birth to Jabal; he was the father of those who dwell in tents and raise livestock.
101	1	4	21	4	21	And his brother’s name was Jubal; he was the father of all who play the harp and flute.
102	1	4	22	4	22	Zillah also gave birth to Tubal-cain, a forger of every implement of bronze and iron. And the sister of Tubal-cain was Naamah.
103	1	4	23	4	23	Then Lamech said to his wives: “Adah and Zillah, hear my voice; wives of Lamech, listen to my speech. For I have slain a man for wounding me, a young man for striking me.
104	1	4	24	4	24	If Cain is avenged sevenfold, then Lamech seventy-sevenfold.”
105	1	4	25	4	25	And Adam again had relations with his wife, and she gave birth to a son and named him Seth, saying, “God has granted me another seed in place of Abel, since Cain killed him.”
106	1	4	26	4	26	And to Seth also a son was born, and he called him Enosh. At that time men began to invoke the name of the LORD.
107	1	5	1	5	1	This is the book of the generations of Adam. In the day that God created man, He made him in His own likeness.
108	1	5	2	5	2	Male and female He created them, and He blessed them. And in the day they were created, He called them “man.”
109	1	5	3	5	3	When Adam was 130 years old, he had a son in his own likeness, after his own image; and he named him Seth.
110	1	5	4	5	4	And after he had become the father of Seth, Adam lived 800 years and had other sons and daughters.
111	1	5	5	5	5	So Adam lived a total of 930 years, and then he died.
112	1	5	6	5	6	When Seth was 105 years old, he became the father of Enosh.
113	1	5	7	5	7	And after he had become the father of Enosh, Seth lived 807 years and had other sons and daughters.
114	1	5	8	5	8	So Seth lived a total of 912 years, and then he died.
115	1	5	9	5	9	When Enosh was 90 years old, he became the father of Kenan.
116	1	5	10	5	10	And after he had become the father of Kenan, Enosh lived 815 years and had other sons and daughters.
117	1	5	11	5	11	So Enosh lived a total of 905 years, and then he died.
118	1	5	12	5	12	When Kenan was 70 years old, he became the father of Mahalaleel.
119	1	5	13	5	13	And after he had become the father of Mahalaleel, Kenan lived 840 years and had other sons and daughters.
120	1	5	14	5	14	So Kenan lived a total of 910 years, and then he died.
121	1	5	15	5	15	When Mahalaleel was 65 years old, he became the father of Jared.
122	1	5	16	5	16	And after he had become the father of Jared, Mahalaleel lived 830 years and had other sons and daughters.
123	1	5	17	5	17	So Mahalaleel lived a total of 895 years, and then he died.
124	1	5	18	5	18	When Jared was 162 years old, he became the father of Enoch.
125	1	5	19	5	19	And after he had become the father of Enoch, Jared lived 800 years and had other sons and daughters.
126	1	5	20	5	20	So Jared lived a total of 962 years, and then he died.
127	1	5	21	5	21	When Enoch was 65 years old, he became the father of Methuselah.
128	1	5	22	5	22	And after he had become the father of Methuselah, Enoch walked with God 300 years and had other sons and daughters.
129	1	5	23	5	23	So Enoch lived a total of 365 years.
130	1	5	24	5	24	Enoch walked with God, and then he was no more, because God had taken him away.
131	1	5	25	5	25	When Methuselah was 187 years old, he became the father of Lamech.
132	1	5	26	5	26	And after he had become the father of Lamech, Methuselah lived 782 years and had other sons and daughters.
133	1	5	27	5	27	So Methuselah lived a total of 969 years, and then he died.
134	1	5	28	5	28	When Lamech was 182 years old, he had a son.
135	1	5	29	5	29	And he named him Noah, saying, “May this one comfort us in the labor and toil of our hands caused by the ground that the LORD has cursed.”
136	1	5	30	5	30	And after he had become the father of Noah, Lamech lived 595 years and had other sons and daughters.
137	1	5	31	5	31	So Lamech lived a total of 777 years, and then he died.
138	1	5	32	5	32	After Noah was 500 years old, he became the father of Shem, Ham, and Japheth.
139	1	6	1	6	1	Now when men began to multiply on the face of the earth and daughters were born to them,
140	1	6	2	6	2	the sons of God saw that the daughters of men were beautiful, and they took as wives whomever they chose.
141	1	6	3	6	3	So the LORD said, “My Spirit will not contend with man forever, for he is mortal; his days shall be 120 years.”
142	1	6	4	6	4	The Nephilim were on the earth in those days, and afterward as well, when the sons of God had relations with the daughters of men. And they bore them children who became the mighty men of old, men of renown.
143	1	6	5	6	5	Then the LORD saw that the wickedness of man was great upon the earth, and that every inclination of the thoughts of his heart was altogether evil all the time.
144	1	6	6	6	6	And the LORD regretted that He had made man on the earth, and He was grieved in His heart.
145	1	6	7	6	7	So the LORD said, “I will blot out man, whom I have created, from the face of the earth—every man and beast and crawling creature and bird of the air—for I am grieved that I have made them.”
146	1	6	8	6	8	Noah, however, found favor in the eyes of the LORD.
147	1	6	9	6	9	This is the account of Noah. Noah was a righteous man, blameless in his generation; Noah walked with God.
148	1	6	10	6	10	And Noah had three sons: Shem, Ham, and Japheth.
149	1	6	11	6	11	Now the earth was corrupt in the sight of God, and full of violence.
150	1	6	12	6	12	And God looked upon the earth and saw that it was corrupt; for all living creatures on the earth had corrupted their ways.
151	1	6	13	6	13	Then God said to Noah, “The end of all living creatures has come before Me, because through them the earth is full of violence. Now behold, I will destroy both them and the earth.
152	1	6	14	6	14	Make for yourself an ark of gopher wood; make rooms in the ark and coat it with pitch inside and out.
153	1	6	15	6	15	And this is how you are to build it: The ark is to be 300 cubits long, 50 cubits wide, and 30 cubits high.
154	1	6	16	6	16	You are to make a roof for the ark, finish its walls a cubit from the top, place a door in the side of the ark, and build lower, middle, and upper decks.
155	1	6	17	6	17	And behold, I will bring floodwaters upon the earth to destroy every creature under the heavens that has the breath of life. Everything on the earth will perish.
156	1	6	18	6	18	But I will establish My covenant with you, and you will enter the ark—you and your sons and your wife and your sons’ wives with you.
157	1	6	19	6	19	And you are to bring two of every living thing into the ark—male and female—to keep them alive with you.
158	1	6	20	6	20	Two of every kind of bird and animal and crawling creature will come to you to be kept alive.
159	1	6	21	6	21	You are also to take for yourself every kind of food that is eaten and gather it as food for yourselves and for the animals.”
160	1	6	22	6	22	So Noah did everything precisely as God had commanded him.
161	1	7	1	7	1	Then the LORD said to Noah, “Go into the ark, you and all your family, because I have found you righteous in this generation.
162	1	7	2	7	2	You are to take with you seven pairs of every kind of clean animal, a male and its mate; a pair of every kind of unclean animal, a male and its mate;
163	1	7	3	7	3	and seven pairs of every kind of bird of the air, male and female, to preserve their offspring on the face of all the earth.
164	1	7	4	7	4	For seven days from now I will send rain on the earth for forty days and forty nights, and I will wipe from the face of the earth every living thing I have made.”
165	1	7	5	7	5	And Noah did all that the LORD had commanded him.
166	1	7	6	7	6	Now Noah was 600 years old when the floodwaters came upon the earth.
167	1	7	7	7	7	And Noah entered the ark, along with his sons and his wife and his sons’ wives, to escape the waters of the flood.
168	1	7	8	7	8	The clean and unclean animals, the birds, and everything that crawls along the ground
169	1	7	9	7	9	came to Noah to enter the ark, two by two, male and female, as God had commanded Noah.
170	1	7	10	7	10	And after seven days the floodwaters came upon the earth.
171	1	7	11	7	11	In the six hundredth year of Noah’s life, on the seventeenth day of the second month, all the fountains of the great deep burst forth, and the floodgates of the heavens were opened.
172	1	7	12	7	12	And the rain fell upon the earth for forty days and forty nights.
173	1	7	13	7	13	On that very day Noah entered the ark, along with his sons Shem, Ham, and Japheth, and his wife, and the three wives of his sons—
174	1	7	14	7	14	they and every kind of wild animal, livestock, crawling creature, bird, and winged creature.
175	1	7	15	7	15	They came to Noah to enter the ark, two by two of every creature with the breath of life.
176	1	7	16	7	16	And they entered, the male and female of every living thing, as God had commanded Noah. Then the LORD shut him in.
177	1	7	17	7	17	For forty days the flood kept coming on the earth, and the waters rose and lifted the ark high above the earth.
178	1	7	18	7	18	So the waters continued to surge and rise greatly on the earth, and the ark floated on the surface of the waters.
179	1	7	19	7	19	Finally, the waters completely inundated the earth, so that all the high mountains under all the heavens were covered.
180	1	7	20	7	20	The waters rose and covered the mountaintops to a depth of fifteen cubits.
181	1	7	21	7	21	And every creature that had moved upon the earth perished—birds, livestock, animals, every creature that swarms upon the earth, and all mankind.
182	1	7	22	7	22	Of all that had been on dry land, everything that had the breath of life in its nostrils died.
183	1	7	23	7	23	And every living thing on the face of the earth was destroyed—man and livestock, crawling creatures and birds of the air; they were blotted out from the earth, and only Noah remained, and those with him in the ark.
184	1	7	24	7	24	And the waters prevailed upon the earth for 150 days.
185	1	8	1	8	1	But God remembered Noah and all the animals and livestock that were with him in the ark. And He sent a wind over the earth, and the waters began to subside.
186	1	8	2	8	2	The springs of the deep and the floodgates of the heavens were closed, and the rain from the sky was restrained.
187	1	8	3	8	3	The waters receded steadily from the earth, and after 150 days the waters had gone down.
188	1	8	4	8	4	On the seventeenth day of the seventh month, the ark came to rest on the mountains of Ararat.
189	1	8	5	8	5	And the waters continued to recede until the tenth month, and on the first day of the tenth month the tops of the mountains became visible.
190	1	8	6	8	6	After forty days Noah opened the window he had made in the ark
191	1	8	7	8	7	and sent out a raven. It kept flying back and forth until the waters had dried up from the earth.
192	1	8	8	8	8	Then Noah sent out a dove to see if the waters had receded from the surface of the ground.
193	1	8	9	8	9	But the dove found no place to rest her foot, and she returned to him in the ark, because water still covered the surface of all the earth. So he reached out his hand and brought her back inside the ark.
194	1	8	10	8	10	Noah waited seven more days and again sent out the dove from the ark.
195	1	8	11	8	11	And behold, the dove returned to him in the evening with a freshly plucked olive leaf in her beak. So Noah knew that the waters had receded from the earth.
196	1	8	12	8	12	And Noah waited seven more days and sent out the dove again, but this time she did not return to him.
197	1	8	13	8	13	In Noah’s six hundred and first year, on the first day of the first month, the water had dried up from the earth. So Noah removed the covering from the ark and saw that the surface of the ground was dry.
198	1	8	14	8	14	By the twenty-seventh day of the second month, the earth was fully dry.
199	1	8	15	8	15	Then God said to Noah,
200	1	8	16	8	16	“Come out of the ark, you and your wife, along with your sons and their wives.
201	1	8	17	8	17	Bring out all the living creatures that are with you—birds, livestock, and everything that crawls upon the ground—so that they can spread out over the earth and be fruitful and multiply upon it.”
202	1	8	18	8	18	So Noah came out, along with his sons and his wife and his sons’ wives.
203	1	8	19	8	19	Every living creature, every creeping thing, and every bird—everything that moves upon the earth—came out of the ark, kind by kind.
204	1	8	20	8	20	Then Noah built an altar to the LORD. And taking from every kind of clean animal and clean bird, he offered burnt offerings on the altar.
205	1	8	21	8	21	When the LORD smelled the pleasing aroma, He said in His heart, “Never again will I curse the ground because of man, even though every inclination of his heart is evil from his youth. And never again will I destroy all living creatures as I have done.
206	1	8	22	8	22	As long as the earth endures, seedtime and harvest, cold and heat, summer and winter, day and night shall never cease.”
207	1	9	1	9	1	And God blessed Noah and his sons and said to them, “Be fruitful and multiply and fill the earth.
208	1	9	2	9	2	The fear and dread of you will fall on every living creature on the earth, every bird of the air, every creature that crawls on the ground, and all the fish of the sea. They are delivered into your hand.
209	1	9	3	9	3	Everything that lives and moves will be food for you; just as I gave you the green plants, I now give you all things.
210	1	9	4	9	4	But you must not eat meat with its lifeblood still in it.
211	1	9	5	9	5	And surely I will require the life of any man or beast by whose hand your lifeblood is shed. I will demand an accounting from anyone who takes the life of his fellow man:
212	1	9	6	9	6	Whoever sheds the blood of man, by man his blood will be shed; for in His own image God has made mankind.
213	1	9	7	9	7	But as for you, be fruitful and multiply; spread out across the earth and multiply upon it.”
214	1	9	8	9	8	Then God said to Noah and his sons with him,
215	1	9	9	9	9	“Behold, I now establish My covenant with you and your descendants after you,
216	1	9	10	9	10	and with every living creature that was with you—the birds, the livestock, and every beast of the earth—every living thing that came out of the ark.
217	1	9	11	9	11	And I establish My covenant with you: Never again will all life be cut off by the waters of a flood; never again will there be a flood to destroy the earth.”
218	1	9	12	9	12	And God said, “This is the sign of the covenant I am making between Me and you and every living creature with you, a covenant for all generations to come:
219	1	9	13	9	13	I have set My rainbow in the clouds, and it will be a sign of the covenant between Me and the earth.
220	1	9	14	9	14	Whenever I form clouds over the earth and the rainbow appears in the clouds,
221	1	9	15	9	15	I will remember My covenant between Me and you and all living creatures: Never again will the waters become a flood to destroy all life.
222	1	9	16	9	16	And whenever the rainbow appears in the clouds, I will see it and remember the everlasting covenant between God and every living creature of every kind that is on the earth.”
223	1	9	17	9	17	So God said to Noah, “This is the sign of the covenant that I have established between Me and all living things on the earth.”
224	1	9	18	9	18	The sons of Noah who came out of the ark were Shem, Ham, and Japheth. And Ham was the father of Canaan.
225	1	9	19	9	19	These three were the sons of Noah, and from them the whole earth was populated.
226	1	9	20	9	20	Now Noah, a man of the soil, proceeded to plant a vineyard.
227	1	9	21	9	21	But when he drank some of its wine, he became drunk and uncovered himself inside his tent.
228	1	9	22	9	22	And Ham, the father of Canaan, saw his father’s nakedness and told his two brothers outside.
229	1	9	23	9	23	Then Shem and Japheth took a garment and placed it across their shoulders, and walking backward, they covered their father’s nakedness. Their faces were turned away so that they did not see their father’s nakedness.
230	1	9	24	9	24	When Noah awoke from his drunkenness and learned what his youngest son had done to him,
231	1	9	25	9	25	he said, “Cursed be Canaan! A servant of servants shall he be to his brothers.”
232	1	9	26	9	26	He also declared: “Blessed be the LORD, the God of Shem! May Canaan be the servant of Shem.
233	1	9	27	9	27	May God expand the territory of Japheth; may he dwell in the tents of Shem, and may Canaan be his servant.”
234	1	9	28	9	28	After the flood, Noah lived 350 years.
235	1	9	29	9	29	So Noah lived a total of 950 years, and then he died.
236	1	10	1	10	1	This is the account of Noah’s sons Shem, Ham, and Japheth, who also had sons after the flood.
237	1	10	2	10	2	The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
238	1	10	3	10	3	The sons of Gomer: Ashkenaz, Riphath, and Togarmah.
239	1	10	4	10	4	And the sons of Javan: Elishah, Tarshish, the Kittites, and the Rodanites.
240	1	10	5	10	5	From these, the maritime peoples separated into their territories, according to their languages, by clans within their nations.
241	1	10	6	10	6	The sons of Ham: Cush, Mizraim, Put, and Canaan.
242	1	10	7	10	7	The sons of Cush: Seba, Havilah, Sabtah, Raamah, and Sabteca. And the sons of Raamah: Sheba and Dedan.
243	1	10	8	10	8	And Cush was the father of Nimrod, who began to be a mighty one on the earth.
244	1	10	9	10	9	He was a mighty hunter before the LORD; so it is said, “Like Nimrod, a mighty hunter before the LORD.”
245	1	10	10	10	10	His kingdom began in Babylon, Erech, Accad, and Calneh, in the land of Shinar.
246	1	10	11	10	11	From that land he went forth into Assyria, where he built Nineveh, Rehoboth-Ir, Calah,
247	1	10	12	10	12	and Resen, which is between Nineveh and the great city of Calah.
248	1	10	13	10	13	And Mizraim was the father of the Ludites, the Anamites, the Lehabites, the Naphtuhites,
249	1	10	14	10	14	the Pathrusites, the Casluhites (from whom the Philistines came), and the Caphtorites.
250	1	10	15	10	15	Canaan was the father of Sidon his firstborn, and of the Hittites,
251	1	10	16	10	16	the Jebusites, the Amorites, the Girgashites,
252	1	10	17	10	17	the Hivites, the Arkites, the Sinites,
253	1	10	18	10	18	the Arvadites, the Zemarites, and the Hamathites. Later the Canaanite clans were scattered,
254	1	10	19	10	19	and the borders of Canaan extended from Sidon toward Gerar as far as Gaza, and then toward Sodom, Gomorrah, Admah, and Zeboiim, as far as Lasha.
255	1	10	20	10	20	These are the sons of Ham according to their clans, languages, lands, and nations.
256	1	10	21	10	21	And sons were also born to Shem, the older brother of Japheth; Shem was the forefather of all the sons of Eber.
257	1	10	22	10	22	The sons of Shem: Elam, Asshur, Arphaxad, Lud, and Aram.
258	1	10	23	10	23	The sons of Aram: Uz, Hul, Gether, and Mash.
259	1	10	24	10	24	And Arphaxad was the father of Shelah, and Shelah was the father of Eber.
260	1	10	25	10	25	And two sons were born to Eber: One was named Peleg, because in his days the earth was divided, and his brother was named Joktan.
261	1	10	26	10	26	And Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,
262	1	10	27	10	27	Hadoram, Uzal, Diklah,
263	1	10	28	10	28	Obal, Abimael, Sheba,
264	1	10	29	10	29	Ophir, Havilah, and Jobab. All these were sons of Joktan.
265	1	10	30	10	30	Their territory extended from Mesha to Sephar, in the eastern hill country.
266	1	10	31	10	31	These are the sons of Shem, according to their clans, languages, lands, and nations.
267	1	10	32	10	32	All these are the clans of Noah’s sons, according to their generations and nations. From these the nations of the earth spread out after the flood.
268	1	11	1	11	1	Now the whole world had one language and a common form of speech.
269	1	11	2	11	2	And as people journeyed eastward, they found a plain in the land of Shinar and settled there.
270	1	11	3	11	3	And they said to one another, “Come, let us make bricks and bake them thoroughly.” So they used brick instead of stone, and tar instead of mortar.
271	1	11	4	11	4	“Come,” they said, “let us build for ourselves a city with a tower that reaches to the heavens, that we may make a name for ourselves and not be scattered over the face of all the earth.”
272	1	11	5	11	5	Then the LORD came down to see the city and the tower that the sons of men were building.
273	1	11	6	11	6	And the LORD said, “If they have begun to do this as one people speaking the same language, then nothing they devise will be beyond them.
274	1	11	7	11	7	Come, let Us go down and confuse their language, so that they will not understand one another’s speech.”
275	1	11	8	11	8	So the LORD scattered them from there over the face of all the earth, and they stopped building the city.
276	1	11	9	11	9	That is why it is called Babel, for there the LORD confused the language of the whole world, and from that place the LORD scattered them over the face of all the earth.
277	1	11	10	11	10	This is the account of Shem. Two years after the flood, when Shem was 100 years old, he became the father of Arphaxad.
278	1	11	11	11	11	And after he had become the father of Arphaxad, Shem lived 500 years and had other sons and daughters.
279	1	11	12	11	12	When Arphaxad was 35 years old, he became the father of Shelah.
280	1	11	13	11	13	And after he had become the father of Shelah, Arphaxad lived 403 years and had other sons and daughters.
281	1	11	14	11	14	When Shelah was 30 years old, he became the father of Eber.
282	1	11	15	11	15	And after he had become the father of Eber, Shelah lived 403 years and had other sons and daughters.
283	1	11	16	11	16	When Eber was 34 years old, he became the father of Peleg.
284	1	11	17	11	17	And after he had become the father of Peleg, Eber lived 430 years and had other sons and daughters.
285	1	11	18	11	18	When Peleg was 30 years old, he became the father of Reu.
